title,barcode,collection_code,call_number,shelf_code,destination_raw,is_problem,message,bin,flag_1,flag_2,flag_3,date,time,destination,datetime,date_only,hour,day_of_week,is_transit
The Bears in the bed and the great big storm /,33472004012409,MLEPB,E BRIGHT GROWINGUP,000,1,False,,4,N,N,N,3/31/2026,7:11:35 AM,Main,2026-03-31 07:11:35,2026-03-31,7,Tuesday,False
Scooby-Doo! and the fishy phantom /,33472003772631,MLEPB,E SCOOBY FAVORITES,000,1,False,,4,N,N,N,3/31/2026,7:11:37 AM,Main,2026-03-31 07:11:37,2026-03-31,7,Tuesday,False
Teddy's snowy day /,33472001431834,MLEPB,E BECK CELEBRATIONS,000,1,False,,4,N,N,N,3/31/2026,7:11:39 AM,Main,2026-03-31 07:11:39,2026-03-31,7,Tuesday,False
"Llama Llama, be my valentine! /",33472004205219,MLER,ER DEWDNEY,000,1,False,,2,N,N,N,3/31/2026,7:11:41 AM,Main,2026-03-31 07:11:41,2026-03-31,7,Tuesday,False
The snowman and the snowdog /,33472003406677,MLER,ER BRIGGS,000,1,False,,2,N,N,N,3/31/2026,7:11:44 AM,Main,2026-03-31 07:11:44,2026-03-31,7,Tuesday,False
Scooby-Doo! and the phantom cowboy /,33472002597211,MLEPB,E SCOOBY FAVORITES,000,1,False,,4,N,N,N,3/31/2026,7:11:47 AM,Main,2026-03-31 07:11:47,2026-03-31,7,Tuesday,False
He's just not that into you :,33472003787639,MLNF,306.7        BEH,000,1,False,,3,N,N,N,3/31/2026,7:11:48 AM,Main,2026-03-31 07:11:48,2026-03-31,7,Tuesday,False
Have I told you this already? :,33472004489995,MLNF,791.45028    GRA,000,1,False,,3,N,N,N,3/31/2026,7:11:51 AM,Main,2026-03-31 07:11:51,2026-03-31,7,Tuesday,False
The incredible shrinking lunchroom /,33472004366037,MLEPB,E BABAY STORIES,000,1,False,,4,N,N,N,3/31/2026,7:11:54 AM,Main,2026-03-31 07:11:54,2026-03-31,7,Tuesday,False
The donkey's dream /,33472002546812,MLEPB,E BERGER CELEBRATIONS,000,1,False,,4,N,N,N,3/31/2026,7:11:57 AM,Main,2026-03-31 07:11:57,2026-03-31,7,Tuesday,False
Tickle monster /,33472004160026,MLEPB,E BISSET STORIES,000,1,False,,4,N,N,N,3/31/2026,7:11:59 AM,Main,2026-03-31 07:11:59,2026-03-31,7,Tuesday,False
Arthur and the school pet /,33472003419381,MLER,ER BROWN M,000,1,False,,2,N,N,N,3/31/2026,7:12:02 AM,Main,2026-03-31 07:12:02,2026-03-31,7,Tuesday,False
Beneath a scarlet sky /,33472004573491,MLFIC,FIC SULLIV,000,1,False,,0,N,Y,N,3/31/2026,8:02:57 AM,Main,2026-03-31 08:02:57,2026-03-31,8,Tuesday,False
Skipping a beat /,33472003432608,MLFIC,FIC PEKKAN,000,WESTSIDE (2910 IH35),False,,5,N,Y,N,3/31/2026,8:03:00 AM,Westside,2026-03-31 08:03:00,2026-03-31,8,Tuesday,True
The best of us /,33472003987296,MLFIC,FIC PEKKAN,000,WESTSIDE (2910 IH35),False,,5,N,Y,N,3/31/2026,8:03:02 AM,Westside,2026-03-31 08:03:02,2026-03-31,8,Tuesday,True
Poisoned pages /,33472003786094,MLFIC,FIC BARRET BM #12,000,WESTSIDE (2910 IH35),False,,5,N,Y,N,3/31/2026,8:03:04 AM,Westside,2026-03-31 08:03:04,2026-03-31,8,Tuesday,True
Tools of engagement /,33472004043131,MLFIC,FIC BAILEY HH #3,000,1,False,,0,N,Y,N,3/31/2026,8:03:07 AM,Main,2026-03-31 08:03:07,2026-03-31,8,Tuesday,False
The match /,33472004273209,MLLPFIC,LP FIC COBEN,000,1,False,,0,N,Y,N,3/31/2026,8:03:09 AM,Main,2026-03-31 08:03:09,2026-03-31,8,Tuesday,False
With the end in mind :,33472004212082,MLNF,304.64       MAN,000,1,False,,0,N,Y,N,3/31/2026,8:03:11 AM,Main,2026-03-31 08:03:11,2026-03-31,8,Tuesday,False
The complete cooking for two cookbook :,33472009106024,MLNF,641.5        COM,000,1,False,,0,N,Y,N,3/31/2026,8:03:14 AM,Main,2026-03-31 08:03:14,2026-03-31,8,Tuesday,False
A complete practical guide to pet and aviary birds :,33472004045482,MLNF,636.68       ALD,000,1,False,,3,N,N,N,3/31/2026,8:03:16 AM,Main,2026-03-31 08:03:16,2026-03-31,8,Tuesday,False
